country,iso3,dimension,framework_baseline,framework_lower,framework_upper,specialist_recommendation,council_consensus,integrator_recommendation,llm_recommendation,final,clamp_adjustment,range_utilization
Djibouti,DJI,D3,48.41893113,18.05,78.79,64.0,47.25,56.89,57.0,57,0.11,64
Djibouti,DJI,D4,52.47106737,12.36,92.58,34.0,35.5,37.07,37.0,37,-0.07,31
Algeria,DZA,D1,45.32267733,28.7,61.94,22.667,32.0,28.18,29.0,29,0.82,1
Algeria,DZA,D2,44.70506313,13.21,76.2,35.667,37.56,37.39,37.0,37,-0.39,38
Algeria,DZA,D3,51.29821091,25.94,76.66,60.667,59.56,59.21,59.0,59,-0.21,65
Algeria,DZA,D4,52.52533078,17.76,87.29,42.667,42.11,43.57,44.0,44,0.43,38
Eritrea,ERI,D1,37.90652362,26.36,49.45,37.0,32.89,35.98,32.0,32,-3.98,24
Eritrea,ERI,D2,47.35162121,22.96,71.74,39.333,38.67,39.96,40.0,40,0.04,35
Eritrea,ERI,D3,41.75948989,12.82,70.7,50.667,43.89,48.06,45.0,45,-3.06,56
Eritrea,ERI,D4,49.88211611,16.69,83.07,49.0,32.22,42.58,33.0,33,-9.58,25
Gabon,GAB,D1,39.05466756,25.52,52.59,34.333,27.25,32.3,32.0,32,-0.3,24
Gabon,GAB,D2,45.48329414,27.59,63.37,41.5,44.25,43.32,43.0,43,-0.32,43
Gabon,GAB,D3,46.88795903,23.73,70.05,41.0,46.5,44.58,45.0,45,0.42,46
Gabon,GAB,D4,46.95620219,18.91,75.0,31.5,34.5,34.97,35.0,35,0.03,29
Guinea,GIN,D1,40.87479632,29.17,52.58,25.0,32.0,29.15,30.0,30,0.85,4
Guinea,GIN,D2,45.37985663,17.57,73.19,54.0,42.0,48.49,48.0,48,-0.49,55
Guinea,GIN,D3,46.23284958,18.33,74.13,56.667,47.5,51.77,52.0,52,0.23,60
Guinea,GIN,D4,44.98364427,16.88,73.08,36.0,36.25,37.21,37.0,37,-0.21,36
Gambia,GMB,D1,41.34862745,26.02,56.68,27.333,31.75,30.3,30.0,30,-0.3,13
Gambia,GMB,D2,49.80508954,25.82,73.79,66.5,43.25,54.02,54.0,54,-0.02,59
Gambia,GMB,D3,48.14596862,16.82,79.47,45.667,47.25,46.48,46.0,46,-0.48,47
Gambia,GMB,D4,49.62884335,15.17,84.09,32.5,35.25,35.84,36.0,36,0.16,30
Guinea-Bissau,GNB,D1,40.35995335,28.45,52.27,39.0,29.75,36.38,36.0,36,-0.38,32
Guinea-Bissau,GNB,D2,51.26197276,28.2,74.33,50.0,53.5,51.56,52.0,52,0.44,52
Guinea-Bissau,GNB,D3,44.60759632,15.33,73.88,22.5,38.25,36.05,36.0,36,-0.05,35
Guinea-Bissau,GNB,D4,49.13212854,18.03,80.23,26.5,34.75,35.47,35.0,35,-0.47,27
Equatorial Guinea,GNQ,D1,39.23166014,26.38,52.08,25.333,29.25,28.51,29.0,29,0.49,10
Equatorial Guinea,GNQ,D2,49.25251433,26.16,72.35,31.5,43.0,38.94,39.0,39,0.06,28
Equatorial Guinea,GNQ,D3,42.71429117,18.07,67.36,46.0,45.75,45.63,46.0,46,0.37,57
Equatorial Guinea,GNQ,D4,50.28603363,14.95,85.62,39.0,33.5,38.03,38.0,38,-0.03,33
Guyana,GUY,D1,42.93319364,26.76,59.11,35.0,34.5,35.78,36.0,36,0.22,29
Guyana,GUY,D2,47.93794803,18.48,77.4,60.0,33.5,47.5,48.0,48,0.5,50
Guyana,GUY,D3,49.02581772,23.81,74.24,49.333,55.75,52.11,52.0,52,-0.11,56
Guyana,GUY,D4,50.22692889,23.33,77.13,50.667,28.25,40.03,40.0,40,-0.03,31
Haiti,HTI,D1,44.78011833,32.86,56.7,24.333,38.0,31.46,33.0,33,1.54,1
Haiti,HTI,D2,52.54180337,24.67,80.41,77.0,65.0,69.89,70.0,70,0.11,81
Haiti,HTI,D3,52.23811796,24.0,80.47,37.667,52.0,44.09,44.0,44,-0.09,35
Haiti,HTI,D4,53.90535785,25.87,81.94,39.333,40.0,41.43,41.0,41,-0.43,27
Cambodia,KHM,D1,42.89981658,29.66,56.14,22.667,37.75,30.45,30.0,30,-0.45,1
Cambodia,KHM,D2,48.6958161,23.88,73.51,25.667,60.25,40.99,41.0,41,0.01,34
Cambodia,KHM,D3,48.14459027,20.31,75.98,61.0,44.75,54.17,54.0,54,-0.17,61
Cambodia,KHM,D4,51.51026556,24.58,78.44,28.333,34.25,32.97,33.0,33,0.03,16
Laos,LAO,D1,42.76149777,26.19,59.33,24.333,30.0,28.14,28.0,28,-0.14,5
Laos,LAO,D2,43.44351596,17.06,69.83,30.667,32.0,32.44,32.0,32,-0.44,28
Laos,LAO,D3,48.43850821,22.7,74.18,46.667,61.78,51.93,55.0,55,3.07,63
Laos,LAO,D4,50.30308421,15.34,85.26,25.0,28.56,31.74,30.0,30,-1.74,21
Liberia,LBR,D1,41.54628266,28.23,54.86,24.333,35.25,30.45,30.0,30,-0.45,7
Liberia,LBR,D2,46.62078935,12.68,80.56,55.0,52.5,52.73,53.0,53,0.27,59
Liberia,LBR,D3,47.79089178,20.0,75.58,51.667,44.75,48.68,49.0,49,0.32,52
Liberia,LBR,D4,53.74411005,19.9,87.58,50.0,43.75,48.04,48.0,48,-0.04,42
Liechtenstein,LIE,D1,51.4059265,31.93,70.88,65.667,58.43,62.15,62.0,62,-0.15,77
Liechtenstein,LIE,D2,51.60288598,28.12,75.08,31.0,52.29,41.36,41.0,41,-0.36,27
Liechtenstein,LIE,D3,49.93015699,21.93,77.93,81.333,61.5,70.18,70.0,70,-0.18,86
Liechtenstein,LIE,D4,51.33669054,17.95,84.72,68.667,60.29,63.26,63.0,63,-0.26,67
Lesotho,LSO,D1,39.46735417,25.43,53.5,27.667,30.67,29.83,30.0,30,0.17,16
Lesotho,LSO,D2,43.75943633,18.35,69.17,40.0,42.44,41.47,41.0,41,-0.47,45
Lesotho,LSO,D3,43.80404026,9.92,77.68,63.333,47.44,55.01,55.0,55,-0.01,67
Lesotho,LSO,D4,50.15121338,13.71,86.6,40.0,32.78,38.27,38.0,38,-0.27,33
MAC,MAC,D1,56.55701462,42.92,70.19,49.333,53.0,51.02,51.0,51,-0.02,30
MAC,MAC,D2,39.39348837,15.25,63.54,53.667,37.38,46.0,46.0,46,0.0,64
MAC,MAC,D3,55.36245525,24.84,85.88,70.667,59.56,64.57,65.0,65,0.43,66
MAC,MAC,D4,54.4801636,18.83,90.13,59.0,67.78,61.65,62.0,62,0.35,61
Moldova,MDA,D1,60.0471487,42.54,77.56,30.0,55.22,42.22,43.0,43,0.78,1
Moldova,MDA,D2,54.19498081,30.23,78.15,31.667,49.33,41.84,42.0,42,0.16,25
Moldova,MDA,D3,54.84542306,30.83,78.86,67.333,61.78,63.82,64.0,64,0.18,69
Moldova,MDA,D4,49.62530715,19.71,79.54,35.667,46.0,41.2,41.0,41,-0.2,36
Madagascar,MDG,D1,40.56380059,27.26,53.87,39.667,32.5,37.76,35.0,35,-2.76,29
Madagascar,MDG,D2,42.95212955,19.62,66.28,37.333,42.25,39.81,40.0,40,0.19,44
Madagascar,MDG,D3,46.71337599,19.55,73.87,56.0,48.0,52.51,53.0,53,0.49,62
Madagascar,MDG,D4,50.81703115,23.73,77.9,36.333,36.25,37.86,38.0,38,0.14,26
Maldives,MDV,D1,35.91310196,24.92,46.91,42.333,30.0,37.59,38.0,38,0.41,59
Maldives,MDV,D2,44.91836179,29.62,60.22,39.333,40.29,40.39,40.0,40,-0.39,34
Maldives,MDV,D3,41.23995507,16.95,65.53,66.0,59.75,60.81,61.0,61,0.19,91
Maldives,MDV,D4,50.78078337,24.31,77.25,46.0,45.86,46.55,47.0,47,0.45,43
Macedonia,MKD,D1,41.21048856,31.16,51.27,30.667,38.78,34.62,35.0,35,0.38,19
Macedonia,MKD,D2,43.02328749,18.49,67.56,58.5,43.0,50.1,50.0,50,-0.1,64
Macedonia,MKD,D3,44.14827679,20.69,67.61,66.667,55.0,59.81,60.0,60,0.19,84
Macedonia,MKD,D4,52.21771411,27.22,77.21,39.333,47.75,44.78,45.0,45,0.22,36
Mali,MLI,D1,40.7576436,27.89,53.62,39.0,30.0,36.54,37.0,37,0.46,35
Mali,MLI,D2,48.21878467,26.01,70.43,62.5,55.0,57.61,58.0,58,0.39,72
Mali,MLI,D3,45.27151826,18.37,72.18,55.0,49.0,51.87,52.0,52,0.13,62
Mali,MLI,D4,50.90757425,16.31,85.51,42.5,35.75,40.82,41.0,41,0.18,36
Malta,MLT,D1,57.81106683,38.17,77.45,41.667,58.33,49.23,49.0,49,-0.23,28
Malta,MLT,D2,60.58002008,43.06,78.1,63.333,63.78,63.18,63.0,63,-0.18,57
Malta,MLT,D3,64.95107964,39.01,90.9,77.667,83.33,78.45,78.0,78,-0.45,75
Malta,MLT,D4,46.47225626,19.27,73.67,50.667,42.78,46.84,47.0,47,0.16,51
Montenegro,MNE,D1,60.49781383,44.72,76.28,43.333,55.67,48.59,49.0,49,0.41,14
Montenegro,MNE,D2,50.53023429,23.05,78.01,50.0,51.22,50.62,51.0,51,0.38,51
Montenegro,MNE,D3,56.65212323,29.4,83.9,66.0,62.89,63.68,64.0,64,0.32,63
Montenegro,MNE,D4,45.74138367,24.0,67.48,47.333,46.22,46.75,47.0,47,0.25,53
Mauritania,MRT,D1,38.25297403,25.15,51.35,20.667,29.75,25.84,26.0,26,0.16,3
Mauritania,MRT,D2,43.76382209,18.95,68.58,30.0,41.75,36.52,37.0,37,0.48,36
Mauritania,MRT,D3,42.27659328,18.54,66.02,61.0,47.0,52.98,53.0,53,0.02,73
Mauritania,MRT,D4,45.51992373,15.76,75.28,35.333,33.5,35.77,36.0,36,0.23,34
Niger,NER,D1,40.96412803,28.36,53.57,36.333,29.0,34.75,35.0,35,0.25,26
Niger,NER,D2,45.26294923,17.56,72.97,41.667,42.0,42.2,42.0,42,-0.2,44
Niger,NER,D3,48.95439775,18.39,79.52,49.667,49.0,49.33,49.0,49,-0.33,50
Niger,NER,D4,54.95960691,22.62,87.3,32.333,29.25,33.53,34.0,34,0.47,18
NIR,NIR,D1,65.02592565,48.3,81.76,56.667,65.0,60.34,60.0,60,-0.34,35
NIR,NIR,D2,59.05486524,38.13,79.98,51.667,59.0,55.42,55.0,55,-0.42,40
NIR,NIR,D3,54.93139786,23.45,86.41,69.333,55.0,62.95,63.0,63,0.05,63
NIR,NIR,D4,56.1043526,21.11,91.1,58.333,56.0,57.09,57.0,57,-0.09,51
Papua New Guinea,PNG,D1,62.91117086,43.79,82.03,22.333,44.0,34.03,34.0,44,9.97,1
Papua New Guinea,PNG,D2,56.37224705,34.31,78.43,59.0,62.0,59.94,60.0,60,0.06,58
Papua New Guinea,PNG,D3,50.81272656,19.08,82.55,36.667,43.75,41.58,42.0,42,0.42,36
Papua New Guinea,PNG,D4,46.5122554,13.3,79.72,42.667,52.5,47.11,47.0,47,-0.11,51
North Korea,PRK,D1,41.05627498,25.02,57.1,10.333,30.0,20.4,20.0,26,5.6,3
North Korea,PRK,D2,46.1008707,23.46,68.74,13.333,32.0,23.22,23.0,24,0.78,1
North Korea,PRK,D3,49.2673393,19.2,79.34,90.333,72.0,79.84,80.0,79,-0.84,99
North Korea,PRK,D4,49.56097047,20.94,78.18,39.333,32.0,37.99,38.0,38,0.01,30
Palestine,PSE,D1,43.84113488,28.92,58.76,20.0,34.25,27.51,29.0,29,1.49,0
Palestine,PSE,D2,43.10643007,17.91,68.3,52.333,50.5,50.63,51.0,51,0.37,66
Palestine,PSE,D3,49.31994843,12.17,86.47,72.0,60.5,65.29,65.0,65,-0.29,71
Palestine,PSE,D4,49.41267969,19.98,78.84,62.0,43.0,52.89,53.0,53,0.11,56
Rwanda,RWA,D1,37.3654832,25.92,48.82,20.333,27.56,24.76,25.0,26,1.24,0
Rwanda,RWA,D2,48.22991956,22.31,74.15,18.0,32.45,26.06,26.0,26,-0.06,7
Rwanda,RWA,D3,48.27880363,23.85,72.7,74.667,52.25,63.6,64.0,64,0.4,82
Rwanda,RWA,D4,52.95520385,16.45,89.46,65.0,37.0,52.8,40.0,40,-12.8,32
Sudan,SDN,D1,40.72603146,28.85,52.61,40.667,29.75,37.81,38.0,38,0.19,39
Sudan,SDN,D2,45.93191696,22.93,68.93,28.333,42.0,35.85,36.0,36,0.15,28
Sudan,SDN,D3,44.51141251,21.34,67.68,67.333,49.0,57.67,58.0,58,0.33,79
Sudan,SDN,D4,50.75098913,18.02,83.48,40.667,29.25,37.23,37.0,37,-0.23,29
Somalia,SOM,D1,41.59409861,27.75,55.44,19.0,28.0,24.44,28.0,28,3.56,1
Somalia,SOM,D2,44.5712653,22.67,66.47,64.0,44.0,53.1,53.0,53,-0.1,69
Somalia,SOM,D3,48.97566568,26.8,71.15,37.667,38.0,39.03,39.0,39,-0.03,28
Somalia,SOM,D4,53.47580071,28.84,78.11,58.333,30.0,45.53,46.0,46,0.47,35
South Sudan,SSD,D1,40.92030846,27.37,54.47,24.0,32.25,28.38,28.0,28,-0.38,2
South Sudan,SSD,D2,50.10653348,21.66,78.56,49.0,42.25,46.91,47.0,47,0.09,45
South Sudan,SSD,D3,48.4294596,21.76,75.1,38.333,47.5,42.29,42.0,42,-0.29,38
South Sudan,SSD,D4,51.1715927,25.9,76.44,41.0,38.0,40.94,41.0,41,0.06,30
Chad,TCD,D1,39.51243078,27.31,51.72,20.667,30.0,25.67,28.0,28,2.33,3
Chad,TCD,D2,43.03149774,23.62,62.44,41.0,43.0,42.16,42.0,42,-0.16,47
Chad,TCD,D3,41.09552073,17.11,65.08,55.0,41.0,48.68,49.0,49,0.32,66
Chad,TCD,D4,49.19985727,10.28,88.12,29.0,29.25,32.98,33.0,33,0.02,29
Togo,TGO,D1,41.45718662,27.35,55.57,20.667,32.5,27.12,28.0,28,0.88,2
Togo,TGO,D2,45.3837729,19.6,71.17,42.5,41.75,42.52,43.0,43,0.48,45
Togo,TGO,D3,46.5842992,19.49,73.68,42.333,48.0,45.03,45.0,45,-0.03,47
Togo,TGO,D4,47.4576111,16.77,78.14,45.0,32.5,39.63,40.0,40,0.37,38
Turkmenistan,TKM,D1,41.5882582,27.02,56.16,20.0,30.25,26.0,28.0,28,2.0,3
Turkmenistan,TKM,D2,50.21067598,26.16,74.26,17.0,35.25,27.48,27.0,27,-0.48,2
Turkmenistan,TKM,D3,46.27076883,15.16,77.38,82.333,65.0,71.17,71.0,71,-0.17,90
Turkmenistan,TKM,D4,48.20297554,18.35,78.06,36.667,31.25,35.73,36.0,36,0.27,30
Antigua and Barbuda,ATG,D1,,3.0,97.0,44.333,37.71,41.52,40.0,40,-1.52,39
Antigua and Barbuda,ATG,D2,,3.0,97.0,59.667,67.71,63.49,65.0,65,1.51,66
Antigua and Barbuda,ATG,D3,,3.0,97.0,36.333,44.57,40.41,43.0,43,2.59,43
Antigua and Barbuda,ATG,D4,,3.0,97.0,39.667,52.0,46.17,50.0,50,3.83,50
Bahrain,BHR,D1,,3.0,97.0,34.333,28.0,32.46,30.0,30,-2.46,29
Bahrain,BHR,D2,,3.0,97.0,36.0,55.0,44.13,44.0,44,-0.13,44
Bahrain,BHR,D3,,3.0,97.0,76.0,67.71,72.52,73.0,73,0.48,74
Bahrain,BHR,D4,,3.0,97.0,61.0,61.14,61.06,61.0,61,-0.06,62
Barbados,BRB,D1,,3.0,97.0,43.667,49.29,46.22,46.0,46,-0.22,46
Barbados,BRB,D2,,3.0,97.0,56.5,67.71,61.77,65.0,65,3.23,66
Barbados,BRB,D3,,3.0,97.0,65.0,46.86,56.93,57.0,57,0.07,57
Barbados,BRB,D4,,3.0,97.0,51.0,53.29,52.0,52.0,52,0.0,52
Congo (Brazzaville),COG,D1,,3.0,97.0,24.333,26.71,25.28,25.0,25,-0.28,23
Congo (Brazzaville),COG,D2,,3.0,97.0,57.333,56.29,56.92,57.0,57,0.08,57
Congo (Brazzaville),COG,D3,,3.0,97.0,46.0,46.43,46.16,46.0,46,-0.16,46
Congo (Brazzaville),COG,D4,,3.0,97.0,50.0,38.43,44.6,45.0,45,0.4,45
Comoros,COM,D1,,3.0,97.0,21.0,23.43,22.03,22.0,22,-0.03,20
Comoros,COM,D2,,3.0,97.0,31.0,38.29,34.2,34.0,34,-0.2,33
Comoros,COM,D3,,3.0,97.0,62.667,60.57,61.76,62.0,62,0.24,63
Comoros,COM,D4,,3.0,97.0,40.667,37.86,39.41,39.0,39,-0.41,38
Dominica,DMA,D1,,3.0,97.0,31.0,35.5,33.11,33.0,33,-0.11,32
Dominica,DMA,D2,,3.0,97.0,55.0,67.25,59.84,60.0,60,0.16,61
Dominica,DMA,D3,,3.0,97.0,51.5,46.5,48.97,49.0,49,0.03,49
Dominica,DMA,D4,,3.0,97.0,43.5,46.5,45.01,45.0,45,-0.01,45
Micronesia (Fed. States),FSM,D1,,3.0,97.0,25.0,28.0,26.08,26.0,26,-0.08,24
Micronesia (Fed. States),FSM,D2,,3.0,97.0,23.0,62.0,38.68,62.0,62,23.32,63
Micronesia (Fed. States),FSM,D3,,3.0,97.0,67.333,38.86,55.22,40.0,40,-15.22,39
Micronesia (Fed. States),FSM,D4,,3.0,97.0,21.0,39.43,28.47,38.0,38,9.53,37
Grenada,GRD,D1,,3.0,97.0,43.333,37.14,41.11,40.0,40,-1.11,39
Grenada,GRD,D2,,3.0,97.0,73.5,67.14,70.45,70.0,70,-0.45,71
Grenada,GRD,D3,,3.0,97.0,49.0,47.14,48.16,48.0,48,-0.16,48
Grenada,GRD,D4,,3.0,97.0,47.5,46.0,46.81,47.0,47,0.19,47
Kiribati,KIR,D1,,3.0,97.0,17.667,27.71,21.23,18.0,18,-3.23,16
Kiribati,KIR,D2,,3.0,97.0,31.0,62.0,43.2,44.0,44,0.8,44
Kiribati,KIR,D3,,3.0,97.0,60.667,38.86,51.94,52.0,52,0.06,52
Kiribati,KIR,D4,,3.0,97.0,20.667,38.29,27.89,26.0,26,-1.89,24
Saint Kitts and Nevis,KNA,D1,,3.0,97.0,29.0,38.0,32.92,38.0,38,5.08,37
Saint Kitts and Nevis,KNA,D2,,3.0,97.0,59.5,67.43,63.37,65.0,65,1.63,66
Saint Kitts and Nevis,KNA,D3,,3.0,97.0,56.0,48.29,52.62,48.0,48,-4.62,48
Saint Kitts and Nevis,KNA,D4,,3.0,97.0,45.333,48.29,46.76,47.0,47,0.24,47
Saint Lucia,LCA,D1,,3.0,97.0,49.0,38.0,45.61,46.0,46,0.39,46
Saint Lucia,LCA,D2,,3.0,97.0,67.5,67.75,67.62,68.0,68,0.38,69
Saint Lucia,LCA,D3,,3.0,97.0,41.5,43.5,42.51,43.0,43,0.49,43
Saint Lucia,LCA,D4,,3.0,97.0,54.0,47.88,51.58,52.0,52,0.42,52
Marshall Islands,MHL,D1,,3.0,97.0,24.667,31.71,27.14,27.0,27,-0.14,26
Marshall Islands,MHL,D2,,3.0,97.0,33.333,62.29,46.23,55.0,55,8.77,55
Marshall Islands,MHL,D3,,3.0,97.0,63.333,51.43,59.15,59.0,59,-0.15,60
Marshall Islands,MHL,D4,,3.0,97.0,28.667,37.57,32.37,32.0,32,-0.37,31
Mauritius,MUS,D1,,3.0,97.0,54.0,33.75,47.07,38.0,38,-9.07,37
Mauritius,MUS,D2,,3.0,97.0,51.5,47.5,49.66,48.0,48,-1.66,48
Mauritius,MUS,D3,,3.0,97.0,63.5,54.75,59.39,55.0,55,-4.39,55
Mauritius,MUS,D4,,3.0,97.0,64.0,53.0,59.26,58.0,58,-1.26,59
Nauru,NRU,D1,,3.0,97.0,38.667,34.71,37.49,37.0,37,-0.49,36
Nauru,NRU,D2,,3.0,97.0,60.0,62.0,60.99,61.0,61,0.01,62
Nauru,NRU,D3,,3.0,97.0,43.333,55.0,48.12,48.0,48,-0.12,48
Nauru,NRU,D4,,3.0,97.0,31.0,40.71,35.45,35.0,35,-0.45,34
Palau,PLW,D1,,3.0,97.0,16.0,34.71,23.3,23.0,23,-0.3,21
Palau,PLW,D2,,3.0,97.0,28.5,62.0,43.63,44.0,44,0.37,44
Palau,PLW,D3,,3.0,97.0,47.333,58.0,51.44,51.0,51,-0.44,51
Palau,PLW,D4,,3.0,97.0,42.667,38.0,40.97,41.0,41,0.03,40
Paraguay,PRY,D1,,3.0,97.0,20.333,28.0,23.53,26.0,26,2.47,24
Paraguay,PRY,D2,,3.0,97.0,37.333,72.0,53.08,62.0,62,8.92,63
Paraguay,PRY,D3,,3.0,97.0,63.5,65.0,64.15,65.0,65,0.85,66
Paraguay,PRY,D4,,3.0,97.0,35.0,45.22,39.7,42.0,42,2.3,41
Solomon Islands,SLB,D1,,3.0,97.0,15.667,22.0,17.86,20.0,20,2.14,18
Solomon Islands,SLB,D2,,3.0,97.0,34.0,61.71,45.79,46.0,46,0.21,46
Solomon Islands,SLB,D3,,3.0,97.0,62.5,58.0,60.57,61.0,61,0.43,62
Solomon Islands,SLB,D4,,3.0,97.0,24.0,35.43,29.01,32.0,32,2.99,31
Sao Tome and Principe,STP,D1,,3.0,97.0,36.0,28.0,32.67,30.0,30,-2.67,29
Sao Tome and Principe,STP,D2,,3.0,97.0,66.5,61.14,63.85,64.0,64,0.15,65
Sao Tome and Principe,STP,D3,,3.0,97.0,32.5,43.43,37.66,38.0,38,0.34,37
Sao Tome and Principe,STP,D4,,3.0,97.0,34.0,35.86,34.91,35.0,35,0.09,34
Eswatini,SWZ,D1,,3.0,97.0,19.5,26.71,22.19,23.0,23,0.81,21
Eswatini,SWZ,D2,,3.0,97.0,29.0,53.86,41.13,51.0,51,9.87,51
Eswatini,SWZ,D3,,3.0,97.0,74.0,58.0,67.2,62.0,62,-5.2,63
Eswatini,SWZ,D4,,3.0,97.0,35.0,43.14,38.77,39.0,39,0.23,38
Seychelles,SYC,D1,,3.0,97.0,34.333,35.43,34.81,35.0,35,0.19,34
Seychelles,SYC,D2,,3.0,97.0,59.333,57.43,58.43,58.0,58,-0.43,59
Seychelles,SYC,D3,,3.0,97.0,35.667,47.29,40.54,41.0,41,0.46,40
Seychelles,SYC,D4,,3.0,97.0,37.667,43.71,40.47,40.0,40,-0.47,39
Timor-Leste,TLS,D1,,3.0,97.0,21.333,28.0,23.77,24.0,24,0.23,22
Timor-Leste,TLS,D2,,3.0,97.0,55.0,52.0,53.98,54.0,54,0.02,54
Timor-Leste,TLS,D3,,3.0,97.0,48.5,59.75,51.92,52.0,52,0.08,52
Timor-Leste,TLS,D4,,3.0,97.0,31.5,38.5,34.78,35.0,35,0.22,34
Tonga,TON,D1,,3.0,97.0,33.333,22.0,30.23,24.0,24,-6.23,22
Tonga,TON,D2,,3.0,97.0,32.667,58.0,42.7,43.0,43,0.3,43
Tonga,TON,D3,,3.0,97.0,74.333,65.0,70.68,65.0,65,-5.68,66
Tonga,TON,D4,,3.0,97.0,41.667,35.71,39.26,37.0,37,-2.26,36
Tuvalu,TUV,D1,,3.0,97.0,20.667,22.0,21.17,21.0,21,-0.17,19
Tuvalu,TUV,D2,,3.0,97.0,50.667,62.0,54.97,62.0,62,7.03,63
Tuvalu,TUV,D3,,3.0,97.0,57.333,58.0,57.57,58.0,58,0.43,59
Tuvalu,TUV,D4,,3.0,97.0,27.667,36.0,31.42,31.0,31,-0.42,30
Saint Vincent and the Grenadines,VCT,D1,,3.0,97.0,39.333,36.12,38.12,38.0,38,-0.12,37
Saint Vincent and the Grenadines,VCT,D2,,3.0,97.0,52.667,67.5,58.82,65.0,65,6.18,66
Saint Vincent and the Grenadines,VCT,D3,,3.0,97.0,50.0,48.25,49.19,49.0,49,-0.19,49
Saint Vincent and the Grenadines,VCT,D4,,3.0,97.0,44.333,49.5,46.85,47.0,47,0.15,47
Vanuatu,VUT,D1,,3.0,97.0,21.333,28.0,23.94,24.0,24,0.06,22
Vanuatu,VUT,D2,,3.0,97.0,46.667,62.0,53.1,55.0,55,1.9,55
Vanuatu,VUT,D3,,3.0,97.0,35.333,42.0,38.4,38.0,38,-0.4,37
Vanuatu,VUT,D4,,3.0,97.0,25.0,36.71,29.99,31.0,31,1.01,30
Samoa,WSM,D1,,3.0,97.0,20.0,22.0,20.69,21.0,21,0.31,19
Samoa,WSM,D2,,3.0,97.0,37.667,68.0,50.89,68.0,68,17.11,69
Samoa,WSM,D3,,3.0,97.0,76.0,60.11,69.79,63.0,63,-6.79,64
Samoa,WSM,D4,,3.0,97.0,39.0,37.56,38.36,38.0,38,-0.36,37
